grad_step,syncs,since_sync,flip_vs_prev,flip_vs_ref,recent100
27100,27,100,0.09765625,0.072265625,49.01149425287356
27200,27,200,0.078125,0.142578125,49.01149425287356
27300,27,300,0.083984375,0.08203125,49.01149425287356
27400,27,400,0.08203125,0.14453125,49.01149425287356
27500,27,500,0.025390625,0.150390625,49.01149425287356
27600,27,600,0.01953125,0.146484375,49.01149425287356
27700,27,700,0.017578125,0.15234375,49.01149425287356
27800,27,800,0.08984375,0.08203125,49.01149425287356
27900,27,900,0.087890625,0.142578125,49.01149425287356
28000,28,0,0.021484375,0.15234375,49.01149425287356
28100,28,100,0.021484375,0.158203125,49.01149425287356
28200,28,200,0.021484375,0.1484375,49.01149425287356
28300,28,300,0.099609375,0.080078125,49.01149425287356
28400,28,400,0.083984375,0.1484375,49.01149425287356
28500,28,500,0.009765625,0.142578125,49.01149425287356
28600,28,600,0.072265625,0.07421875,49.01149425287356
28700,28,700,0.013671875,0.080078125,49.01149425287356
28800,28,800,0.09765625,0.150390625,49.01149425287356
28900,28,900,0.076171875,0.08203125,49.01149425287356
29000,29,0,0.015625,0.078125,49.01149425287356
29100,29,100,0.078125,0.14453125,49.01149425287356
29200,29,200,0.01953125,0.140625,51.77272727272727
29300,29,300,0.029296875,0.150390625,51.77272727272727
29400,29,400,0.091796875,0.0703125,51.77272727272727
29500,29,500,0.015625,0.0703125,51.77272727272727
29600,29,600,0.025390625,0.083984375,51.71910112359551
29700,29,700,0.01953125,0.076171875,51.32222222222222
29800,29,800,0.01953125,0.072265625,50.857142857142854
29900,29,900,0.009765625,0.0703125,50.857142857142854
30000,30,0,0.03125,0.0859375,50.54347826086956
30100,30,100,0.087890625,0.154296875,50.54347826086956
30200,30,200,0.015625,0.146484375,50.54347826086956
30300,30,300,0.01953125,0.150390625,50.54347826086956
30400,30,400,0.021484375,0.15625,50.54347826086956
30500,30,500,0.017578125,0.142578125,50.54347826086956
30600,30,600,0.08203125,0.080078125,50.83870967741935
30700,30,700,0.005859375,0.08203125,50.83870967741935
30800,30,800,0.09765625,0.1484375,50.83870967741935
30900,30,900,0.017578125,0.134765625,50.83870967741935
31000,31,0,0.013671875,0.13671875,50.83870967741935
31100,31,100,0.015625,0.14453125,50.83870967741935
31200,31,200,0.076171875,0.080078125,51.01063829787234
31300,31,300,0.083984375,0.14453125,51.01063829787234
31400,31,400,0.01953125,0.1484375,51.01063829787234
31500,31,500,0.021484375,0.130859375,51.01063829787234
31600,31,600,0.0078125,0.134765625,51.01063829787234
31700,31,700,0.068359375,0.0703125,51.01063829787234
31800,31,800,0.021484375,0.068359375,51.01063829787234
31900,31,900,0.083984375,0.1328125,51.01063829787234
32000,32,0,0.01953125,0.14453125,51.01063829787234
32100,32,100,0.07421875,0.078125,51.01063829787234
32200,32,200,0.015625,0.078125,51.01063829787234
32300,32,300,0.017578125,0.072265625,51.01063829787234
32400,32,400,0.017578125,0.0703125,51.01063829787234
32500,32,500,0.013671875,0.076171875,52.28421052631579
32600,32,600,0.001953125,0.07421875,52.28421052631579
32700,32,700,0.083984375,0.142578125,52.28421052631579
32800,32,800,0.09765625,0.080078125,52.03125
32900,32,900,0.03125,0.083984375,52.03125
33000,33,0,0.029296875,0.08203125,52.03125
33100,33,100,0.033203125,0.072265625,51.896907216494846
33200,33,200,0.04296875,0.072265625,51.896907216494846
33300,33,300,0.03515625,0.068359375,51.896907216494846
33400,33,400,0.01953125,0.068359375,51.755102040816325
33500,33,500,0.0234375,0.076171875,51.755102040816325
33600,33,600,0.025390625,0.0625,51.755102040816325
33700,33,700,0.05078125,0.0703125,51.755102040816325
33800,33,800,0.029296875,0.068359375,51.755102040816325
33900,33,900,0.017578125,0.0703125,51.83838383838384
34000,34,0,0.017578125,0.076171875,51.83838383838384
34100,34,100,0.01171875,0.076171875,51.58
34200,34,200,0.015625,0.072265625,51.58
34300,34,300,0.025390625,0.078125,51.58
34400,34,400,0.029296875,0.076171875,51.58
34500,34,500,0.01953125,0.068359375,51.56
34600,34,600,0.0234375,0.072265625,51.56
34700,34,700,0.015625,0.076171875,51.56
34800,34,800,0.0390625,0.083984375,51.56
34900,34,900,0.072265625,0.1484375,52.01
35000,35,0,0.08203125,0.078125,52.01
35100,35,100,0.02734375,0.0703125,52.01
35200,35,200,0.017578125,0.068359375,52.01
35300,35,300,0.03125,0.080078125,52.01
35400,35,400,0.0390625,0.072265625,52.01
35500,35,500,0.02734375,0.068359375,52.01
35600,35,600,0.0234375,0.064453125,52.01
35700,35,700,0.0234375,0.068359375,52.01
35800,35,800,0.01953125,0.068359375,52.83
35900,35,900,0.021484375,0.0703125,52.83
36000,36,0,0.015625,0.05859375,52.29
36100,36,100,0.01953125,0.06640625,52.29
36200,36,200,0.08984375,0.14453125,52.29
36300,36,300,0.0859375,0.07421875,52.29
36400,36,400,0.01171875,0.078125,52.29
36500,36,500,0.029296875,0.064453125,52.29
36600,36,600,0.04296875,0.076171875,52.29
36700,36,700,0.03125,0.072265625,52.29
36800,36,800,0.01171875,0.080078125,52.29
36900,36,900,0.025390625,0.07421875,53.24
37000,37,0,0.03515625,0.07421875,53.11
37100,37,100,0.03125,0.07421875,52.42
37200,37,200,0.009765625,0.072265625,52.42
37300,37,300,0.037109375,0.08984375,52.42
37400,37,400,0.056640625,0.072265625,51.53
37500,37,500,0.009765625,0.07421875,51.53
37600,37,600,0.03125,0.078125,51.75
37700,37,700,0.009765625,0.080078125,51.75
37800,37,800,0.021484375,0.08984375,51.75
37900,37,900,0.0390625,0.0703125,51.75
38000,38,0,0.01171875,0.078125,51.75
38100,38,100,0.0234375,0.08203125,51.52
38200,38,200,0.0234375,0.07421875,51.52
38300,38,300,0.0234375,0.06640625,51.52
38400,38,400,0.025390625,0.080078125,50.94
38500,38,500,0.0234375,0.072265625,50.94
38600,38,600,0.009765625,0.0703125,50.11
38700,38,700,0.03125,0.08203125,49.93
38800,38,800,0.03515625,0.07421875,49.93
38900,38,900,0.021484375,0.072265625,49.93
39000,39,0,0.029296875,0.08203125,49.93
39100,39,100,0.029296875,0.080078125,49.93
39200,39,200,0.025390625,0.078125,49.93
39300,39,300,0.076171875,0.134765625,50.6
39400,39,400,0.1171875,0.091796875,50.6
39500,39,500,0.029296875,0.0703125,50.6
39600,39,600,0.015625,0.08203125,50.78
39700,39,700,0.08203125,0.13671875,50.78
39800,39,800,0.017578125,0.142578125,50.78
39900,39,900,0.09765625,0.068359375,50.78
